Company Name,Industry,Company Size,Revenue Range,Lifecycle Stage,Application Status
Apex Logistics LLC,Transportation/Logistics,51-200,$10M - $25M,Lead,
Bridgewater Manufacturing Co,Manufacturing,201-500,$25M - $50M,Lead,
Summit Staffing Solutions,Staffing,11-50,$2M - $5M,MQL,
Ironclad Construction Group,Construction,51-200,$15M - $30M,Lead,
Pacific Wholesale Traders,Wholesale/Distribution,11-50,$5M - $10M,Lead,
Titan Oilfield Services,Oilfield Services,201-500,$50M - $100M,SQL,
Velocity Freight Systems,Transportation/Logistics,501-1000,$75M - $150M,Opportunity,Approved
Precision Metal Works,Manufacturing,51-200,$10M - $25M,Lead,
Elite Workforce Partners,Staffing,2-10,$500K - $2M,Lead,
Cornerstone Builders Inc,Construction,201-500,$30M - $75M,MQL,
Midwest Distribution Hub,Wholesale/Distribution,51-200,$15M - $35M,Lead,
Lone Star Drilling Co,Oilfield Services,51-200,$20M - $40M,MQL,
Express Route Carriers,Transportation/Logistics,11-50,$3M - $8M,Lead,
Sterling Fabrication Inc,Manufacturing,11-50,$2M - $5M,Lead,
ProStaff Employment Agency,Staffing,51-200,$8M - $20M,SQL,
Granite Peak Constructors,Construction,51-200,$12M - $28M,Lead,
National Supply Chain Co,Wholesale/Distribution,201-500,$40M - $80M,MQL,
Roughneck Energy Services,Oilfield Services,11-50,$5M - $12M,Lead,
Continental Trucking Corp,Transportation/Logistics,201-500,$35M - $70M,Opportunity,Approved
Advanced Assembly Systems,Manufacturing,201-500,$30M - $60M,MQL,
Talent Bridge Staffing,Staffing,11-50,$1M - $4M,Lead,
Skyline Development Group,Construction,1000+,$150M - $300M,SQL,
Metro Wholesale Solutions,Wholesale/Distribution,11-50,$3M - $7M,Lead,
Pioneer Petroleum Services,Oilfield Services,201-500,$45M - $90M,MQL,
Highway Haulers Inc,Transportation/Logistics,51-200,$8M - $18M,Lead,
Industrial Forge Corp,Manufacturing,51-200,$12M - $25M,Lead,
FlexForce Staffing Inc,Staffing,2-10,$300K - $1M,Lead,
Delta Prime Contractors,Construction,11-50,$4M - $10M,MQL,
Heartland Distributors,Wholesale/Distribution,51-200,$10M - $22M,Lead,
Basin Well Services,Oilfield Services,51-200,$15M - $35M,SQL,
Atlas Freight Lines,Transportation/Logistics,51-200,$12M - $28M,Lead,
Quantum Manufacturing LLC,Manufacturing,1000+,$200M - $500M,Opportunity,Approved
Reliable Temp Services,Staffing,51-200,$6M - $15M,MQL,
Triumph Construction Co,Construction,201-500,$40M - $85M,Lead,
Central States Supply,Wholesale/Distribution,201-500,$35M - $70M,MQL,
